Candidate,Description,Votes,Electorate,Turnout,Spoilt ballots,Ward,vote_share
HARTSHORNE Rachel,Green Party,892,17363,39.0,25,Moortown,13.1
SHAHZAD Mohammed,Labour and Co-operative Party,3938,17363,39.0,25,Moortown,57.7
STEPHENS David William,Yorkshire Party,226,17363,39.0,25,Moortown,3.3
SYKES George,Liberal Democrats,557,17363,39.0,25,Moortown,8.2
COWLES Richard Thomas,Social Democratic Party,25,18282,31.0,11,Morley North,0.4
DAVEY Patrick Gerard,Labour and Co-operative Party,1400,18282,31.0,11,Morley North,25.0
EATWELL Dom,The Conservative Party Candidate,848,18282,31.0,11,Morley North,15.1
FINNIGAN Robert,Morley Borough Independents,2448,18282,31.0,11,Morley North,43.6
KELLETT Rebecca Sofia,Green Party,313,18282,31.0,11,Morley North,5.6
THACKRAY Johnathan Robert,Reform UK,252,18282,31.0,11,Morley North,4.5
TRUEMAN James,Liberal Democrats,323,18282,31.0,11,Morley North,5.8
BARTICEL Mihai Marcelin,Liberal Democrats,191,18284,28.0,27,Morley South,3.8
BELL Chris,Green Party,450,18284,28.0,27,Morley South,8.9
BRADLEY Bailey Jacob Statton,Labour Party,1510,18284,28.0,27,Morley South,30.0
GEORGE Charles Henry Jack,The Conservative Party Candidate,749,18284,28.0,27,Morley South,14.9
KIDGER Wyn,Morley Borough Independents,2094,18284,28.0,27,Morley South,41.6
MARTIN Andrew Alexander,Social Democratic Party,41,18284,28.0,27,Morley South,0.8
BRADLEY Mick,Green Party,946,18283,38.0,31,Otley & Yeadon,13.5
BUXTON Claire Jane,Yorkshire Party,197,18283,38.0,31,Otley & Yeadon,2.8
DOWNES Ryk,Liberal Democrats,3189,18283,38.0,31,Otley & Yeadon,45.5
HARPER Stewart Peter,Local Conservatives,791,18283,38.0,31,Otley & Yeadon,11.3
MCCARGO Ian Joseph,Labour and Co-operative Party,1727,18283,38.0,31,Otley & Yeadon,24.7
NATHAN Elliot Edwards,Breakthrough Party,156,18283,38.0,31,Otley & Yeadon,2.2
AHMED Riaz,Labour Party,2891,19116,36.0,27,Pudsey,41.9
GLOVER Christine Amy,Liberal Democrats,352,19116,36.0,27,Pudsey,5.1
HALL Alaric Timothy Peter,Green Party,398,19116,36.0,27,Pudsey,5.8
KELLY Tom,Reform UK,201,19116,36.0,27,Pudsey,2.9
SMITH Trish,Local Conservatives,3050,19116,36.0,27,Pudsey,44.3
CHAPMAN Diane,Liberal Democrats,3409,15821,35.0,16,Rothwell,61.6
DRIVER James Louis,Labour and Co-operative Party,1200,15821,35.0,16,Rothwell,21.7
GBOLADE Babatunde Abiodun,Local Conservatives,372,15821,35.0,16,Rothwell,6.7
MCDONALD Sean Francis,Yorkshire Party,274,15821,35.0,16,Rothwell,4.9
MOORSOM Tim,Green Party,260,15821,35.0,16,Rothwell,4.7
WELBOURNE Sarah Jane,Social Democratic Party,21,15821,35.0,16,Rothwell,0.4
AHAD Shazar,The Conservative Party Candidate,992,17684,38.0,35,Roundhay,14.8
BOWDEN Jordan Daniel,Labour and Co-operative Party,3758,17684,38.0,35,Roundhay,56.0
ELLIS Paul Charles,Green Party,1475,17684,38.0,35,Roundhay,22.0
FINLAY Darren,Liberal Democrats,482,17684,38.0,35,Roundhay,7.2
NORMAN Keith Cecil,Liberal Democrats,376,16730,30.0,30,Temple Newsam,7.4
SHARPE Nicole Louise,Labour Party,2632,16730,30.0,30,Temple Newsam,52.1
TRIGG Cormac John,The Conservative Party Candidate,1647,16730,30.0,30,Temple Newsam,32.6
TURVER Geraldine Mary,Green Party,331,16730,30.0,30,Temple Newsam,6.6
WHETSTONE Wendy Vivienne,Social Democratic Party,61,16730,30.0,30,Temple Newsam,1.2
BASU Angelo,Local Conservatives,411,15776,42.0,12,Weetwood,6.2
FOREN Christopher Mark,Green Party,550,15776,42.0,12,Weetwood,8.3
HESELWOOD Jools,Labour and Co-operative Party,3103,15776,42.0,12,Weetwood,46.7
HOWLEY Chris,Liberal Democrats,2534,15776,42.0,12,Weetwood,38.1
WALKER Rob,Social Democratic Party,47,15776,42.0,12,Weetwood,0.7
NUTTGENS Lucy Kathleen,Labour and Co-operative Party,498,16730,46.0,18,Wetherby,6.5
PRINCE James Andrew,Liberal Democrats,161,16730,46.0,18,Wetherby,2.1
RICHARDS Linda Judith,Local Conservatives,2958,16730,46.0,18,Wetherby,38.4
STABLES Penny,Green Party,4079,16730,46.0,18,Wetherby,53.0
